Germanized for WooCommerce|storeabill_document_noticemeta|woocommerce-germanized
Germanized for WooCommerce|storeabill_journals|woocommerce-germanized
germanized2bmd|Germanized2BMD_settings|germanized2bmd
Google Listings and Ads|gla_budget_recommendations|google-listings-and-ads
Google Listings and Ads|gla_shipping_rates|google-listings-and-ads
Google Listings and Ads|gla_merchant_issues|google-listings-and-ads
Google Listings and Ads|gla_shipping_times|google-listings-and-ads
Gravity Forms|gf_entry|gravityforms
Gravity Forms|gf_entry_meta|gravityforms
Gravity Forms|gf_form_meta|gravityforms
Gravity Forms|gf_form|gravityforms
Gravity Forms|gf_addon_feed|gravityforms
Gravity Forms|gf_form_view|gravityforms
Gravity Forms|gf_entry_notes|gravityforms
Gravity Forms|gf_form_revisions|gravityforms
Gravity Forms|gf_draft_submissions|gravityforms
Gravity Forms|gf_rest_api_keys|gravityforms
Groups|groups_user_group|groups
Groups|groups_capability|groups
Groups|groups_user_capability|groups
Groups|groups_group_capability|groups
Groups|groups_group|groups
Groups Newsletters|groups_newsletters_subscriber|groups-newsletters
Groups Newsletters|groups_newsletters_queue|groups-newsletters
Hustle|hustle_modules|hustle,hustle-pro
Hustle|hustle_modules_meta|hustle,hustle-pro
Imagify|imagify_files|imagify
Imagify|imagify_folders|imagify
Instagram Feed|sbi_instagram_post|instagram-feed,instagram-feed-pro
IP2Location Country Blocker|ip2location_country_blocker_log|ip2location-country-blocker
iThemes Security|itsec_logs|ithemes-security
iThemes Security|itsec_lockouts|ithemes-security
iThemes Security|itsec_temp|ithemes-security
iThemes Security|itsec_dashboard_events|ithemes-security
iThemes Security|itsec_distributed_storage|ithemes-security
iThemes Security|itsec_bans|ithemes-security
iThemes Security|itsec_fingerprints|ithemes-security
iThemes Security|itsec_geolocation_cache|ithemes-security
iThemes Security|itsec_mutexes|ithemes-security
iThemes Security|itsec_opaque_tokens|ithemes-security
iThemes Security|itsec_user_groups|ithemes-security
JetBackup|sg_action|backup-guard-platinum
JetBackup|sg_config|backup-guard-platinum
JetBackup|sg_schedule|backup-guard-platinum
JetEngine|jet_post_types|jet-engine
JetEngine|jet_taxonomies|jet-engine
Kadence|kbp_form_entrymeta|kadence
Kadence Conversions - Popups, slide-ins|kadence_conversions_events|kadence-conversions
LiteSpeed Cache|litespeed_avatar|litespeed-cache
LiteSpeed Cache|litespeed_url|litespeed-cache
LiteSpeed Cache|litespeed_crawler|litespeed-cache
LiteSpeed Cache|litespeed_img_optming|litespeed-cache
LiteSpeed Cache|litespeed_crawler_blacklist|litespeed-cache
Mail logging - WP Mail Catcher|mail_catcher_logs|wp-mail-catcher
Mail logging - WP Mail Catcher|wp0f691email_catcher_logs|wp-mail-catcher
MailerLite|mailerlite_forms|official-mailerlite-sign-up-forms
MailPoet|mailpoet_subscribers|mailpoet
MailPoet|mailpoet_subscriber_segment|mailpoet
MailPoet|mailpoet_segments|mailpoet
MailPoet|mailpoet_newsletter_templates|mailpoet
MailPoet|mailpoet_scheduled_task_subscribers|mailpoet
MailPoet|mailpoet_statistics_newsletters|mailpoet
MailPoet|mailpoet_statistics_opens|mailpoet
MailPoet|mailpoet_scheduled_tasks|mailpoet
MailPoet|mailpoet_sending_queues|mailpoet
MailPoet|mailpoet_user_agents|mailpoet
MailPoet|mailpoet_statistics_clicks|mailpoet
MailPoet|mailpoet_newsletters|mailpoet
MailPoet|mailpoet_statistics_woocommerce_purchases|mailpoet
MailPoet|mailpoet_statistics_unsubscribes|mailpoet
MailPoet|mailpoet_newsletter_links|mailpoet
MailPoet|mailpoet_stats_notifications|mailpoet
MailPoet|mailpoet_subscriber_ips|mailpoet
MailPoet|mailpoet_mapping_to_external_entities|mailpoet
MailPoet|mailpoet_newsletter_segment|mailpoet
MailPoet|mailpoet_settings|mailpoet
MailPoet|mailpoet_custom_fields|mailpoet
MailPoet|mailpoet_newsletter_option|mailpoet
MailPoet|mailpoet_subscriber_custom_field|mailpoet
MailPoet|mailpoet_dynamic_segment_filters|mailpoet
MailPoet|mailpoet_newsletter_option_fields|mailpoet
MailPoet|mailpoet_feature_flags|mailpoet
MailPoet|mailpoet_user_flags|mailpoet
MailPoet|mailpoet_newsletter_posts|mailpoet
MailPoet|mailpoet_statistics_forms|mailpoet
MailPoet|mailpoet_forms|mailpoet
MailPoet|mailpoet_log|mailpoet
MailPoet|mailpoet_statistics_bounces|mailpoet
MailPoet|mailpoet_subscriber_tag|mailpoet
MailPoet|mailpoet_tags|mailpoet
MailPoet|mailpoet_automation_runs|mailpoet
MailPoet|mailpoet_migrations|mailpoet
MailPoet|mailpoet_automation_run_logs|mailpoet
MailPoet|mailpoet_automation_versions|mailpoet
MailPoet|mailpoet_automations|mailpoet
MailPoet|mailpoet_automation_triggers|mailpoet
MailPoet|mailpoet_automation_run_subjects|mailpoet
Matomo Analytics - Ethical Stats. Powerful Insights.|matomo_log_visit|matomo
Media Cloud|mcloud_task|ilab-media-tools-premium
Media Cloud|mcloud_task_data|ilab-media-tools-premium
Media Cloud|mcloud_post_map|ilab-media-tools-premium
Media Cloud|mcloud_task_token|ilab-media-tools-premium
Media Cloud|ilab_mc_logging|ilab-media-tools-premium
Media Cloud|mcloud_mux_assets|ilab-media-tools-premium
Media Cloud|mcloud_mux_playback|ilab-media-tools-premium
Media Cloud|mcloud_mux_renditions|ilab-media-tools-premium
MonsterInsights - User Journey Addon|monsterinsights_user_journey|monsterinsights-user-journey
MonsterInsights - User Journey Addon|monsterinsights_pageinsights_cache|monsterinsights-user-journey
MP3 Audio Player by Sonaar|sonaar_events|sonaar-music
MyBookProgress - Stormhill Media|mbp_nudges|mybookprogress
MyBookProgress - Stormhill Media|mbp_progress|mybookprogress
MyBookProgress - Stormhill Media|wpstg0_mbp_progress|mybookprogress
Ninja Charts|ninja_charts|ninja-charts
Novashare|novashare_meta|novashare
Password Protect WordPress Lite|pda_passwords|password-protect-page
PDF Invoices & Packing Slips for WooCommerce|wcpdf_invoice_number|woocommerce-pdf-invoices-packing-slips
PDF Invoices & Packing Slips for WooCommerce|wcpdf_order_confirmation_number|woocommerce-pdf-invoices-packing-slips
PDF Invoices & Packing Slips for WooCommerce|wcpdf_packing_slip_number|woocommerce-pdf-invoices-packing-slips
PDF Invoices & Packing Slips for WooCommerce|wcpdf_proposal_number|woocommerce-pdf-invoices-packing-slips
RafflePress|rafflepress_polls|rafflepress
Rank Math SEO|rank_math_redirections|seo-by-rank-math
Really Simple SSL|rsssl_csp_log|rlrsssl-really-simple-ssl
Redirection|redirection_404|redirection
Redirection|redirection_items|redirection
Redirection|redirection_groups|redirection
Redirection|redirection_logs|redirection
SEO Redirection|WP_SEO_Redirection|seo-redirection-premium
SEO Redirection|WP_SEO_404_links|seo-redirection-premium
SEO Redirection|WP_SEO_Cache|seo-redirection-premium
SEO Redirection|WP_SEO_Groups|seo-redirection-premium
SEO Redirection|WP_SEO_Redirection_LOG|seo-redirection-premium
SEOPress|seopress_significant_keywords|seopress
Shield Security|icwp_wpsf_scans|icwp-wpsf
Shield Security|icwp_wpsf_req_logs|icwp-wpsf
Shield Security|icwp_wpsf_at_meta|icwp-wpsf
Shield Security|icwp_wpsf_sessions|icwp-wpsf
Shield Security|icwp_wpsf_at_logs|icwp-wpsf
Shield Security|icwp_wpsf_botsignal|icwp-wpsf
Shield Security|icwp_wpsf_ips|icwp-wpsf
Shield Security|icwp_wpsf_events|icwp-wpsf
Shield Security|icwp_wpsf_user_meta|icwp-wpsf
Shield Security|icwp_wpsf_ip_lists|icwp-wpsf
Shield Security|icwp_wpsf_resultitems|icwp-wpsf
Shield Security|icwp_wpsf_reports|icwp-wpsf
Shield Security|icwp_wpsf_notes|icwp-wpsf
ShopMagic for WooCommerce|shopmagic_automation_outcome|shopmagic-for-woocommerce
ShopMagic for WooCommerce|shopmagic_cart|shopmagic-for-woocommerce
ShortPixel Image Optimizer|shortpixel_meta|wp-shortpixel
ShortPixel Image Optimizer|shortpixel_postmeta|shortpixel-image-optimiser
ShortPixel Image Optimizer|shortpixel_queue|shortpixel-image-optimiser
ShortPixel Image Optimizer|shortpixel_folders|shortpixel-image-optimiser
Simple History|simple_history_contexts|simple-history
Slider Revolution|revslider_css|revslider
Slider Revolution|revslider_sliders_bkp|revslider
Slider Revolution|revslider_static_slides_bkp|revslider
Slider Revolution|revslider_slides_bkp|revslider
Slider Revolution|revslider_css_bkp|revslider
Slider Revolution|revslider_layer_animations_bkp|revslider
Slider Revolution|revslider_layer_animations|revslider
Slider Revolution|revslider_navigations_bkp|revslider
Slider Revolution|revslider_navigations|revslider
Slim SEO|slim_seo_404|slim-seo
Smart Slider 3|nextend2_smartslider3_sliders|nextend-smart-slider3
Smush|smush_dir_images|wp-smushit
Stream|stream|stream
Stream|stream_meta|stream
The Events Calendar|tec_occurrences|the-events-calendar
The Events Calendar|tec_events|the-events-calendar
ThirstyAffiliates|ta_link_clicks_meta|thirstyaffiliates
ThirstyAffiliates|ta_link_clicks|thirstyaffiliates
TranslatePress - Multilingual|trp_gettext_de_de|translatepress-multilingual
TranslatePress - Multilingual|trp_dictionary_de_de_fr_fr|translatepress-multilingual
TranslatePress - Multilingual|trp_gettext_original_meta|translatepress-multilingual
TranslatePress - Multilingual|trp_gettext_fr_fr|translatepress-multilingual
TranslatePress - Multilingual|trp_original_meta|translatepress-multilingual
TranslatePress - Multilingual|trp_original_strings|translatepress-multilingual
TranslatePress - Multilingual|trp_gettext_original_strings|translatepress-multilingual
TranslatePress - Multilingual|trp_gettext_en_us|translatepress-multilingual
TranslatePress - Multilingual|trp_dictionary_de_de_en_us|translatepress-multilingual
Ultimate Media Gallery for WordPress|mvp_media|apmvp
Ultimate Media Gallery for WordPress|mvp_path|apmvp
Ultimate Media Gallery for WordPress|mvp_statistics|apmvp
Ultimate Media Gallery for WordPress|mvp_watched_percentage|apmvp
Ultimate Media Gallery for WordPress|mvp_players|apmvp
Ultimate Media Gallery for WordPress|mvp_playlists|apmvp
Ultimate Media Gallery for WordPress|mvp_statistics_country_play|apmvp
Ultimate Media Gallery for WordPress|mvp_annotation|apmvp
Ultimate Media Gallery for WordPress|mvp_statistics_user|apmvp
Ultimate Media Gallery for WordPress|mvp_statistics_user_play|apmvp
Ultimate Media Gallery for WordPress|mvp_media_taxonomy|apmvp
Ultimate Media Gallery for WordPress|mvp_playlist_taxonomy|apmvp
Ultimate Media Gallery for WordPress|mvp_ad|apmvp
Ultimate Media Gallery for WordPress|mvp_settings|apmvp
Ultimate Media Gallery for WordPress|mvp_statistics_country|apmvp
Ultimate Media Gallery for WordPress|mvp_global_ad|apmvp
Ultimate Media Gallery for WordPress|mvp_subtitle|apmvp
Visitor Traffic Real Time Statistics|ahc_countries|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_recent_visitors|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_visits_time|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_refering_sites|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_browsers|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_search_engine_crawlers|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_search_engines|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_daily_visitors_stats|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_searching_visits|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_hits|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_settings|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_keywords|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_title_traffic|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_online_users|visitors-traffic-real-time-statistics
Visitor Traffic Real Time Statistics|ahc_visitors|visitors-traffic-real-time-statistics
Wildrobot Logistra frakt integrasjon|wildrobot_logistra_delivery_relations|logistra-woocommerce-integrasjon-fra-wildrobot-app
WishList Member|wlm_userlevel_options|wishlist-member
WishList Member|wlm_contentlevels|wishlist-member
WishList Member|wlm_user_options|wishlist-member
WishList Member|wlm_logs|wishlist-member
WishList Member|wlm_contentlevel_options|wishlist-member
WishList Member|wlm_userlevels|wishlist-member
WishList Member|wlm_options|wishlist-member
WishList Member|wlm_email_queue|wishlist-member
